date,location_id,city,country,latitude,longitude,timezone,location_confidence,location_source,temp_c,temp_c_max,temp_c_min,humidity_pct,heat_index_c,uv_index,sunshine_h,shortwave_mj_m2,precipitation_mm,wind_kmh,aqi,aqi_us,pm2_5,pm10
2015-02-13,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-12.400,-8.300,-16.000,59,-12.400,5.071,10.159,15.720,0.000,25.300,,,,
2015-02-14,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-7.700,-0.900,-14.000,68,-7.700,2.952,4.490,9.150,1.000,13.700,,,,
2015-02-15,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-10.700,-5.800,-17.400,62,-10.700,4.832,8.965,14.980,1.400,33.400,,,,
2015-02-16,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-14.100,-8.100,-19.200,55,-14.100,4.855,8.390,15.050,0.000,22.900,,,,
2015-02-17,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-8.400,-4.500,-11.600,73,-8.400,3.806,7.273,11.800,3.000,12.000,,,,
2015-02-18,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-8.600,-2.900,-14.200,75,-8.600,4.987,10.016,15.460,0.000,9.700,,,,
2015-02-19,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-10.200,-7.300,-14.300,61,-10.200,4.877,10.444,15.120,0.000,28.900,,,,
2015-02-20,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-15.100,-9.100,-19.700,57,-15.100,5.526,10.535,17.130,0.000,24.100,,,,
2015-02-21,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-9.200,-2.000,-18.000,71,-9.200,2.648,4.000,8.210,10.300,18.200,,,,
2015-02-22,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,0.200,5.100,-3.000,88,0.200,4.165,7.463,12.910,7.200,10.200,,,,
2015-02-23,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-7.100,-2.000,-15.400,64,-7.100,4.397,7.595,13.630,0.000,21.600,,,,
2015-02-24,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-13.600,-7.500,-19.900,63,-13.600,5.655,10.026,17.530,0.000,14.300,,,,
2015-02-25,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-7.200,0.700,-15.200,70,-7.200,5.687,10.647,17.630,0.000,19.600,,,,
2015-02-26,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-6.500,-3.500,-8.300,71,-6.500,4.013,6.123,12.440,0.800,16.300,,,,
2015-02-27,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-9.100,-3.100,-13.600,70,-9.100,5.768,10.673,17.880,0.000,12.600,,,,
2015-02-28,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-10.300,-4.000,-17.900,60,-10.300,6.010,10.839,18.630,0.000,10.700,,,,
2015-03-01,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-5.900,-1.900,-9.700,70,-5.900,1.974,0.000,6.120,11.700,10.900,,,,
2015-03-02,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-1.500,1.700,-6.400,73,-1.500,5.371,10.066,16.650,0.300,24.900,,,,
2015-03-03,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-5.700,1.300,-11.900,77,-5.700,3.400,4.737,10.540,10.600,15.600,,,,
2015-03-04,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,2.900,4.400,2.100,89,2.900,2.132,0.644,6.610,4.900,20.500,,,,
2015-03-05,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-2.200,2.000,-6.800,83,-2.200,1.068,0.000,3.310,18.800,15.600,,,,
2015-03-06,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-10.500,-6.200,-15.500,69,-10.500,6.526,11.352,20.230,0.000,17.400,,,,
2015-03-07,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-8.600,0.900,-17.100,73,-8.600,6.100,11.271,18.910,0.000,15.800,,,,
2015-03-08,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,-0.700,5.900,-6.300,78,-0.700,5.690,11.223,17.640,0.000,20.500,,,,
2015-03-09,new_york,New York,US,40.714,-74.006,America/New_York,0.650,seeded_itinerary,0.800,7.200,-5.400,76,0.800,5.706,9.861,17.690,0.100,11.700,,,,
2015-03-10,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,19.500,23.600,15.000,69,19.500,5.790,10.506,17.950,0.000,12.900,,,,
2015-03-11,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,18.500,22.600,15.600,73,18.500,6.400,10.601,19.840,0.900,23.800,,,,
2015-03-12,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.200,15.900,12.000,79,14.200,4.268,8.567,13.230,11.800,31.900,,,,
2015-03-13,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.700,18.000,11.800,69,14.700,6.161,11.719,19.100,0.000,16.400,,,,
2015-03-14,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,15.000,19.100,11.200,74,15.000,6.977,11.731,21.630,0.000,16.600,,,,
2015-03-15,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.800,17.700,11.500,74,14.800,5.748,11.687,17.820,0.000,18.400,,,,
2015-03-16,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.500,17.800,11.400,67,14.500,6.232,11.754,19.320,0.000,15.700,,,,
2015-03-17,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,15.100,19.100,10.800,68,15.100,6.781,11.674,21.020,0.000,18.400,,,,
2015-03-18,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,15.800,20.500,12.200,73,15.800,7.090,11.778,21.980,0.000,18.700,,,,
2015-03-19,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.700,17.700,11.800,76,14.700,6.019,11.737,18.660,0.000,19.500,,,,
2015-03-20,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.100,16.500,12.300,66,14.100,6.187,11.801,19.180,0.000,22.700,,,,
2015-03-21,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,13.200,16.300,11.000,68,13.200,5.255,11.574,16.290,1.300,25.500,,,,
2015-03-22,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.200,17.300,11.800,57,14.200,6.690,11.825,20.740,0.000,23.500,,,,
2015-03-23,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,14.400,19.400,8.600,66,14.400,6.665,11.000,20.660,0.000,15.400,,,,
2015-03-24,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,16.700,21.700,12.400,61,16.700,7.432,11.848,23.040,0.000,17.800,,,,
2015-03-25,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,17.600,23.200,13.500,62,17.600,6.919,11.859,21.450,0.000,21.400,,,,
2015-03-26,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,18.700,24.700,12.100,61,18.700,7.619,11.319,23.620,0.000,15.900,,,,
2015-03-27,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,23.000,28.400,17.600,38,23.000,5.197,8.145,16.110,0.000,20.300,,,,
2015-03-28,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,23.100,25.200,18.700,44,23.100,6.035,10.966,18.710,0.900,28.100,,,,
2015-03-29,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,18.500,22.700,15.300,75,18.500,6.548,11.905,20.300,0.300,17.800,,,,
2015-03-30,tel_aviv,Tel Aviv,IL,32.081,34.781,Asia/Jerusalem,0.650,seeded_itinerary,16.500,20.200,14.000,72,16.500,7.226,11.916,22.400,0.000,22.000,,,,
