participant_id,day,run_km,training_min,zone2_min,steps,sleep_hrs,bedtime_hr,protein_g,energy_kcal
1,1,7.0,30,25,8432,7.4,23.2,75,2673
1,4,6.0,41,22,10194,7.5,22.8,98,2352
1,7,8.7,34,24,9808,7.0,23.1,90,2181
1,8,6.7,34,24,10457,7.2,23.0,99,2155
1,9,5.6,31,28,11104,7.1,23.1,91,2154
1,10,5.5,35,20,10194,7.4,23.3,88,2363
1,11,5.3,37,20,9278,7.5,23.1,88,2358
1,12,4.9,34,26,8872,7.3,23.3,86,2366
1,14,4.6,43,22,10342,7.3,23.6,85,2380
1,15,5.9,23,25,10735,7.3,23.1,89,2320
1,16,6.1,28,26,9691,7.6,23.2,95,2090
1,18,6.2,42,33,7921,7.4,23.7,104,2345
1,19,7.0,37,24,8542,7.5,23.4,104,2480
1,23,8.1,42,28,8492,7.0,23.4,98,2502
1,24,7.9,44,25,7736,6.8,23.4,97,2482
1,25,6.6,46,28,8344,6.8,23.7,98,2472
1,26,6.9,40,24,10398,7.2,23.7,88,2432
1,28,7.1,33,20,10472,7.1,24.1,81,2446
1,29,7.1,25,21,10093,7.5,23.9,71,2415
1,30,7.3,33,28,10809,7.8,24.1,73,2391
1,32,8.2,35,26,11996,7.8,24.2,95,2238
1,34,7.4,40,23,9970,7.7,23.3,87,2483
1,35,8.3,28,23,8866,7.6,23.4,96,2516
1,36,7.6,37,24,9357,7.6,23.3,100,2593
1,37,7.0,36,31,9330,7.6,23.4,93,2710
1,38,7.0,34,24,9334,8.1,22.9,78,2692
1,39,6.3,31,19,9647,8.2,22.7,71,2803
1,41,6.2,31,25,10110,7.8,23.0,75,2544
1,42,5.4,34,29,9689,7.9,22.5,81,2618
1,44,7.3,30,22,9254,7.7,22.5,81,2482
1,46,6.9,25,30,9679,7.8,22.5,87,2550
1,49,6.8,28,25,9519,7.0,22.9,72,2437
1,50,8.5,33,27,9093,7.0,22.8,78,2529
1,51,6.2,38,25,9597,7.0,22.7,77,2576
1,53,7.1,42,22,8641,6.9,22.4,82,2672
1,56,6.3,41,23,8830,7.3,22.4,83,2174
1,57,6.8,38,22,9189,7.2,22.5,89,2291
1,59,7.2,38,21,10298,6.8,22.1,100,2521
1,60,7.6,39,23,10913,6.8,22.1,89,2600
1,62,6.0,45,25,10172,7.0,22.2,100,2586
1,63,5.7,47,28,10837,6.8,22.5,79,2588
